HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Input.image_url	Answer.tag1	Answer.tag2	Answer.tag3	Answer.tag4	Answer.tag5	Approve	Reject
3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			33TIN5LC05V76KXGJWZF4DME5QL9YP	A21JFQP5MAYQO2	Approved	Mon Apr 18 01:29:12 PDT 2016	Mon Apr 18 01:29:52 PDT 2016	Tue Apr 19 01:29:52 PDT 2016	2016-04-19 08:30:16 UTC			40	100% (3/3)	100% (2/2)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	use the toilet	clean the toilet	take a bath	mop the floor	clean the tub		
3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			34MAJL3QP585TBUGDGAYXBFLAXE34J	A3D6IPJ4RBCNVY	Approved	Mon Apr 18 03:27:45 PDT 2016	Mon Apr 18 03:41:30 PDT 2016	Tue Apr 19 03:41:30 PDT 2016	2016-04-19 10:45:16 UTC			825	100% (16/16)	100% (16/16)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	clean the pot	relax in the tub	use the pot	use tissue roll	use the flush		
3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			3I3WADAZ9RPCBJR2AJD0Q6JA5K15OH	A1KIMT9A4JOKL3	Approved	Sun Apr 17 23:38:30 PDT 2016	Sun Apr 17 23:39:34 PDT 2016	Mon Apr 18 23:39:34 PDT 2016	2016-04-19 06:40:16 UTC			64	100% (51/51)	100% (51/51)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	wipe make up off with toilet paper	flush toilet	replace wax ring on toilet	mop floor	use hand towel to dry hands		
3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			3J2UYBXQQMXNR6ZXDHLUSB1S3C0066	A180NWQ83I0ZPL	Approved	Mon Apr 18 02:49:09 PDT 2016	Mon Apr 18 02:51:36 PDT 2016	Tue Apr 19 02:51:36 PDT 2016	2016-04-19 09:55:16 UTC			147	100% (1/1)	100% (1/1)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	Flip up the lid of the toilet and urinate or defecate in the bowl.	Flush the toilet	Un-rap the wrapper of the toilet paper.	Sit on toilet and clip toe nails.	Take a bath in the bathtub		
3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			3VZLGYJEYMVXC6PJIY7CYNHYINFXZM	A2VI55LKT5L4KB	Approved	Mon Apr 18 00:14:20 PDT 2016	Mon Apr 18 01:00:12 PDT 2016	Tue Apr 19 01:00:12 PDT 2016	2016-04-19 08:00:16 UTC			2752	100% (411/412)	100% (47/47)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	open the lid	sitting of pot	using toilet paper	flushing the toilet	washing hands with soap		
3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			39DD6S19JQWO66Y2NTHKAYWR2H7EZX	A1WD0DK58AKBVE	Approved	Mon Apr 18 02:46:13 PDT 2016	Mon Apr 18 02:47:13 PDT 2016	Tue Apr 19 02:47:13 PDT 2016	2016-04-19 09:50:16 UTC			60	100% (15/15)	100% (15/15)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	use wash basin for hand wash	can wash face	can use bath tub for bathing	can use shower	can use water pipes		
3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			3A4TN5196L3NINEULG5IK3SJLFBCHA	A2VI55LKT5L4KB	Approved	Mon Apr 18 01:18:17 PDT 2016	Mon Apr 18 01:23:59 PDT 2016	Tue Apr 19 01:23:59 PDT 2016	2016-04-19 08:25:16 UTC			342	100% (411/412)	100% (47/47)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	cleaning face with soap	cleaning teeth with toothbrush	taking a quick shower	using shower gel	wipe to dry with towel		
3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			3G2UL9A02EZ19HZHYG637QBFBQ376A	A1KIMT9A4JOKL3	Approved	Sun Apr 17 23:42:12 PDT 2016	Sun Apr 17 23:42:39 PDT 2016	Mon Apr 18 23:42:39 PDT 2016	2016-04-19 06:45:16 UTC			27	100% (51/51)	100% (51/51)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	take a relaxing bath	take a hot shower	wash your hands	apply make up	wash the floor		
3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			3R5F3LQFV35AIXBRH7KGFAQ56JAOZ8	A28JGET2XTPRG5	Approved	Mon Apr 18 01:38:28 PDT 2016	Mon Apr 18 01:39:10 PDT 2016	Tue Apr 19 01:39:10 PDT 2016	2016-04-19 08:40:16 UTC			42	100% (230/230)	100% (3/3)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	wash hands	take a shower	take a bath	wash face	look in mirror		
3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3Q5AG2X64SLMDIWU7KHFYVLDTA8MVL	Describe 5 things you can do in this image	Please view the image and list 5 actions that you could do in this space.	"image, tag, picture, photo, action, goal"	$0.10	Sun Apr 17 22:51:01 PDT 2016	5	BatchId:2359893;	3600	86400	Sun Apr 24 22:51:01 PDT 2016			3WMINLGALCO8806GFAVQ3H5F8KOCA2	A3D6IPJ4RBCNVY	Approved	Mon Apr 18 03:27:12 PDT 2016	Mon Apr 18 03:32:32 PDT 2016	Tue Apr 19 03:32:32 PDT 2016	2016-04-19 10:35:16 UTC			320	100% (16/16)	100% (16/16)	0% (0/0)	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	take a shower	relax your body	brush your teeth	wash your hands	clean the wash basin		
